FP003863 NSUN7_1
FP000110 CASZ1_1
FP013973 RFX1_1
FP005302 ABHD16A_1
FP000801 SARS_1
FP004886 PRELID2_1
FP015580 GAL3ST1_1
FP002099 RGPD2_1
FP007027 CNBD1_1
FP004524 RNF180_1
FP007517 ASPN_1
FP012488 SCIMP_1
FP007872 SAPCD2_1
FP008124 SLC25A16_1
FP004487 ITGA2_1
FP015944 CASK_1
FP009462 DDX25_1
FP002865 GALNT15_1
FP014321 ITPKC_1
FP000726 ZNF326_1
FP013142 TBX2_1
FP002845 CHCHD4_1
FP014761 ZNF543_1
FP003187 ATXN7_1
FP009214 KCTD21_1
FP010767 PRKD1_1
FP007789 TTF1_1
FP009260 KDM4D_1
FP014085 CERS1_1
FP007786 MED27_1
FP007984 SKIDA1_1
FP011129 TRAF3_1
FP013263 SMIM6_1
FP007438 CBWD3_1
FP010971 ACOT4_1
FP014729 UBE2S_1
FP000146 TMEM51_1
FP006455 SLC26A4_1
FP006112 ELMO1_1
FP004719 PRRC1_1
FP012418 RILP_1
FP009852 KRT82_1
FP014331 CYP2S1_1
FP006164 UPP1_1
FP008800 SYT13_1
FP001065 KCNN3_1
FP003864 APBB2_1
FP010032 GRIP1_1
FP009690 LDHB_1
FP016314 FAM122C_1
FP014378 PSG5_1
FP001189 ITLN1_1
FP007965 FAM188A_1
FP014708 NLRP2_1
FP001117 GLMP_1
FP010419 MTMR6_1
FP013935 ZNF490_1
FP013344 ACTG1_1
FP016310 PHF6_1
FP009562 GNB3_1
FP014949 CST3_1
FP003151 CACNA2D3_1
FP003567 PHC3_1
FP012554 TP53_1
FP010401 XPO4_1
FP004999 TENM2_1
FP008116 DNAJC12_1
FP011899 CCP110_1
FP008953 TMEM179B_1
FP001203 ADAMTS4_1
FP004475 C5orf28_1
FP006648 GIMAP4_1
FP015672 DMC1_1
FP003589 GNB4_1
FP009061 YIF1A_1
FP008847 SSRP1_1
FP000192 CAPZB_1
FP002558 MDH1B_1
FP012607 MAP2K4_1
FP003075 MON1A_1
FP008245 ACTA2_1
FP006049 NPY_1
FP004537 MAST4_1
FP004996 NUDCD2_1
FP016142 HDX_1
FP012979 GPATCH8_1
FP010685 ZNF219_1
FP003957 HTN1_1
FP013731 TBXA2R_1
FP001774 DTNB_1
FP000534 KNCN_1
