FP000073 CPNE8_1
FP005040 MAPK13_1
FP003098 SLC44A5_1
FP000416 ATP6V1A_1
FP000134 NUP107_1
FP002676 FAM45A_1
FP002086 LYAR_1
FP004922 NIPAL3_1
FP003743 GABRA6_1
FP002348 ATP6V1D_1
FP001845 SLC25A5_1
FP002645 DPCD_1
FP001368 BIRC5_1
FP004030 RIMBP2_1
FP000079 ALG12_1
FP002148 TMEM216_1
FP000138 CPSF6_1
FP001907 SMIM19_1
FP005629 PRIM1_1
FP004846 PHACTR4_1
FP000608 PCID2_1
FP004033 BNAS1_1
FP005159 PHB_1
FP002659 CALHM3_1
FP001357 ISM1_1
FP000389 VAMP1_1
FP001482 CHRM3_1
FP003674 LAMB2_1
FP002989 TGFBR3_1
FP001275 SLA_1
FP004341 CCDC137_1
FP000446 CPOX_1
FP004868 MTF1_1
FP000522 PDXK_1
FP001162 TOX_1
FP001328 WDR43_1
FP001828 CAPN6_1
FP001984 TNKS_1
FP002166 RPUSD2_1
FP003258 COMMD2_1
FP001538 TMEM181_1
FP004929 MSANTD2_1
FP002900 PTPRC_1
FP003012 PIGK_1
FP005371 MRPL17_1
FP000005 LMF2_1
FP000721 PDGFD_1
FP000635 COMMD6_1
FP001427 MRPS10_1
FP002585 POLR3A_1
FP005173 NFE2L1_1
FP002841 MRAS_1
FP003557 NFAT5_1
FP000420 RABL3_1
FP000787 GJC2_1
FP000981 FKBP9_1
FP003767 LMAN2_1
FP000149 KRR1_1
FP001632 SNAP91_1
FP005449 CDC37L1_1
FP005062 AHCYL1_1
FP002689 BCCIP_1
FP005500 MCC_1
FP001739 GAL5_1
FP004430 CCT6_1
FP002878 CXCR4_1
FP000004 SBF1_1
FP003875 MRM2_1
FP001494 NTPCR_1
FP001634 RWDD2A_1
FP000471 ARL6_1
FP004211 GBGT1_1
FP003219 ACTL6A_1
FP003986 RHOT2_1
FP003723 HBEGF_1
FP002725 SPP2_1
FP003155 SERPINE2_1
FP000452 NIT2_1
FP001808 FGF13_1
FP005578 DTWD2_1
FP003141 UBE2G2_1
FP002706 ITGAV_1
FP004333 SLC39A11_1
FP003534 SLC7A5_1
FP004586 ARFGAP1_1
FP005059 PPIL1_1
FP000936 TGFBR2_1
FP004351 CANT1_1
FP002124 RNF103_1
FP001602 OSTM1_1
FP004664 CEBPB_1
FP001733 INTS9_1
FP002941 FAM20B_1
FP003053 COA7_1
FP003806 CDX1_1
FP000941 CMTM6_1
FP003969 CLCN7_1
FP003773 FGFR4_1
FP004555 STK4_1
FP000595 NCK2_1
FP001095 GMNN_1
FP002405 TGFB3_1
FP004442 MYO1C_1
FP004678 ICMT_1
FP002096 TADA2B_1
FP004816 LIN28A_1
FP000942 DYNC1LI1_1
FP001054 DROSHA_1
FP003216 USP13_1
FP003564 ZNF821_1
FP002498 ATP5S_1
FP005183 MIEN1_1
FP003311 ANXA2_1
FP001501 GALNT2_1
FP002330 RIOX1_1
FP003384 CLPX_1
FP002183 DBX1_1
FP003705 IRAK2_1
FP002839 BIN1_1
FP000383 CSTB_1
FP000600 SH3RF3_1
FP004154 GRIN1_1
FP001139 SS18_1
FP003872 ZFAND2A_1
FP000507 RCAN1_1
FP003878 TTYH3_1
FP000657 MED4_1
FP000501 IFNAR1_1
FP005478 RMI1_1
FP002435 VRK1_1
FP001858 FGA_1
FP000440 BLZF1_1
FP002150 FEN1_1
FP004520 SRSF6_1
FP005022 CTSK_1
FP003750 UBTD2_1
FP001110 PSMG2_1
FP000268 TIMP3_1
FP001123 TGIF1_1
FP002618 CYP26A1_1
FP004869 RSPO1_1
FP003658 MCM2_1
FP003584 TUSC2_1
FP004516 WSCD1_1
FP001951 CEP44_1
FP000155 RPS16_1
FP003062 TMEM59_1
FP004276 UTS2R_1
FP004377 KCTD2_1
FP004982 UBQLN4_1
FP000277 C12orf45_1
FP001005 TNS3_1
FP000038 BEND7_1
FP003164 GK5_1
FP003449 CNOT1_1
FP001303 TPCN3_1
FP004820 LAPTM5_1
FP001469 SLC30A6_1
FP005169 SNX11_1
FP002709 ACADL_1
FP004552 PIGT_1
FP004405 CYB5D2_1
FP002668 VTI1A_1
FP000483 USP25_1
FP002884 LYPD6B_1
FP001295 PUS10_1
FP000160 C12orf29_1
FP004336 SDK2_1
FP000317 CECR1_1
FP001260 MRPL13_1
FP002956 FAM129A_1
FP003664 SLC6A6_1
FP004827 EDN2_1
FP002830 SLC11A1_1
FP004445 SERPINF1_1
FP004294 SLC16A3_1
FP000732 CWC15_1
FP005412 CENPK_1
FP001385 THUMPD2_1
FP001495 EGLN1_1
FP000116 ARID2_1
FP004710 PEX14_1
FP000675 POSTN_1
FP003734 NPM1_1
FP001236 NCALD_1
FP000419 METTL16_1
FP003679 ARIH2_1
FP000643 MTRF1_1
FP004808 SNRPG_1
FP001993 GC_1
FP002732 BlSK1_1
FP001222 PLEKHF2_1
FP001698 UBXN2A_1
FP003837 KIF3A_1
FP005336 GRP_1
FP004512 TMEM97_1
FP003445 FHOD1_1
FP002961 TRMT1L_1
FP002129 RPIA_1
FP001679 KLF11_1
FP001440 PPP1CB_1
FP004252 RABEPK_1
FP004268 STX8_1
FP005408 KIF2A_1
FP004593 RGS19_1
FP003776 FAF2_1
FP002347 EIF2S1_1
FP003310 LACTB_1
FP001856 PLRG1_1
FP005418 CENPH_1
FP004621 COMMD7_1
FP002782 MTX2_1
FP004756 HP1BP3_1
FP004600 TNFRSF6B_1
FP001282 PSCA_1
FP004643 PMEPA1_1
FP002907 UCHL5_1
FP002955 RGL1_1
FP002028 BDH2_1
FP002968 DBT_1
FP002142 SPR_1
FP000888 AGR2_1
FP004527 RBM39_1
FP002565 HK1_1
FP000638 TDRD3_1
FP002544 CABCOCO1_1
FP003242 GFM1_1
FP002759 SUMO1_1
FP003020 ATP6V0B_1
FP003609 PARP3_1
FP005140 DCAF7_1
FP004102 LIMK2_1
FP004458 SDF2_1
FP002072 LCORL_1
FP003214 FXR1_1
FP005417 SLC30A5_1
FP003199 SLC12A9_1
FP003673 JAGN1_1
FP000313 WASHC1_1
FP001759 ITM2A_1
FP000760 STIM1_1
FP002101 LRPAP1_1
FP000669 CKAP2_1
FP004836 LUZP1_1
FP003511 CDH5_1
FP001336 TMEM17_1
FP003632 NINJ1_1
FP000766 FAM168A_1
FP001024 JARID2_1
FP003746 C1QTNF2_1
FP005279 NDUFS7_1
FP002283 API5_1
FP001074 GALNT1_1
FP000625 CLDN10_1
FP004014 SDF2L1_1
FP002477 DAAM1_1
FP000218 CSDC2_1
FP002262 CTNND1_1
FP001381 ATL2_1
FP003917 GFER_1
FP001682 PDIA6_1
FP002887 NMI_1
FP001917 GTF2E2_1
FP003728 PAIP2_1
FP003427 COQ9_1
FP000372 TIGAR_1
FP002196 WT1_1
FP002063 RELL1_1
FP001654 DST_1
FP002267 CCND1_1
FP001725 STMN4_1
FP005539 CETN3_1
FP001690 SMC6_1
FP002260 CPT1A_1
FP003367 HAPLN3_1
FP001838 LAMP2_1
FP001925 HPGDS_1
FP001859 FGG_1
FP005088 ST7L_1
FP000503 TMEM50B_1
FP000390 MRPL51_1
FP000993 MRPL32_1
FP000633 IRG1_1
FP003109 SAP130_1
FP004533 AHCY_1
FP000107 NRCAM_1
FP000591 TMEM182_1
FP003320 ALDH1A2_1
FP004738 CLCN6_1
FP003339 MYEF2_1
FP004631 CD40_1
FP003275 ARIH1_1
FP002923 ITPA_1
FP000775 POLD3_1
FP000734 C11orf54_1
FP003277 ADPGK_1
FP002741 STK17B_1
FP002448 EIF5_1
FP003798 ANXA6_1
FP002651 ACTR1A_1
FP000427 CASQ2_1
FP001043 ECI2_1
FP001545 TXLNB_1
FP000655 HTR2A_1
FP002128 THNSL2_1
FP000921 OXNAD1_1
