FP004345 fstb_1
FP000768 colec12_1
FP007398 pard6a_1
FP005651 st3gal5l_1
FP005844 MARS2_1
FP001655 mkrn1_1
FP006716 ndufaf6_1
FP001482 zgc:171489_1
FP002482 RBM26_1
FP001129 kri1_1
FP008233 kidins220b_1
FP006902 lrrc57_1
FP008708 SH2D7-1_1
FP009352 her12_1
FP004826 acad9_1
FP002778 eno1b_1
FP003102 RIC3-1_1
FP004134 ddx3_1
FP003177 cebpa_1
FP008299 sf3b14_1
FP002470 rad54l_1
FP006511 hoxa13b_1
FP000444 acta1a_1
FP006468 polr3c_1
FP002136 ppp2r4_1
FP006156 acad8_1
FP000899 si:ch211-195h23.3_1
FP003106 slc7a6os_1
FP007279 arf5_1
FP003531 rpe65b_1
FP002499 apg3l_1
FP009237 bmp7b_1
FP008967 pdhb_1
FP009525 zgc:174906_1
FP004275 epb41l4a_1
FP001210 hmgxb4a_1
FP009198 col9a3_1
FP002985 zdhhc13_1
FP004916 map1lc3c_1
FP004855 pfkfb4_1
FP008017 zgc:101562_1
FP009214 spata2_1
FP008715 dnajc18_1
FP002580 tmem198b_1
FP002836 stx16_1
FP008443 DTWD2_1
FP006426 cep76_1
FP008342 fabp7b_1
FP005845 hspa4b_1
FP001935 ube2l3b_1
FP000684 znf644a_1
FP003462 plxnb3_1
FP010028 mfge8b_1
FP002664 cep63_1
FP007349 si:ch211-212o1.2_1
FP003580 si:ch211-133l5.7_1
FP005645 fam135a_1
FP005970 eif4ea_1
FP009410 si:ch211-156j22.4_1
FP009687 PTGDS-3_1
FP008720 grpel2_1
FP009927 ccdc135_1
FP008593 pgam2_1
FP003908 dnajb2_1
FP006442 pex5_1
FP001418 zgc:114118_1
FP000069 zgc:77849_1
FP009082 hdgfrp2_1
FP002875 pkp1b_1
FP002162 ptcd2_1
FP008315 vta1_1
FP007063 ankrd9_1
FP000017 txnl4b_1
FP002995 DTX4-1_1
FP007741 nkiras1_1
FP005905 phf6_1
FP005367 YIPF7_1
