FP001644 Kif5c_1
FP017779 Bag6_1
FP002226 Pced1a_1
FP008114 Nav2_1
FP003703 Ints12_1
FP000013 St18_1
FP013850 Sos2_1
FP007562 Mypop_1
FP017635 LOC102631757_1
FP001242 Frmd4a_1
FP002283 Pak7_1
FP002707 Nespas_1
FP018792 Clcf1_1
FP016948 Osbpl11_1
FP011168 Lama2_1
FP015470 Ajuba_1
FP019070 Aldh1a1_1
FP004433 Cyp4a32_1
FP010912 Epm2aip1_1
FP014057 Gtf2a1_1
FP019721 Nsdhl_1
FP011491 C2cd4c_1
FP003659 Ndst3_1
FP011623 Zfp938_1
FP012449 Prpsap2_1
FP017388 Zfp160_1
FP016772 Hic2_1
FP003866 Ints8_1
FP016967 Dirc2_1
FP003188 Tmem79_1
FP002082 Pla2g4e_1
FP005738 Ankle2_1
FP000612 Vps4b_1
FP002258 Prnp_1
FP009588 Nudt21_1
FP019098 Kank1_1
FP013380 Sox9_1
FP016396 Zdhhc25_1
FP016358 Ttll12_1
FP018973 Tut1_1
FP014748 6720489N17Rik_1
FP002464 Trp53inp2_1
FP002699 Ppp4r1l-ps_1
FP019498 H2al1n_1
FP006063 Ssc4d_1
FP003103 Rapgef2_1
FP007083 Bid_1
FP003007 Rfxap_1
FP016076 Fam49b_1
FP017048 Atg3_1
FP002485 Rbm12_1
FP006696 AK014984_1
FP010728 AK043163_1
FP004749 Trim63_1
FP002918 Usp13_1
FP019391 Shtn1_1
FP008681 Itgal_1
FP005648 Mrps18c_1
FP003234 Dcst1_1
FP007191 Tulp3_1
FP018072 Slc25a41_1
FP014899 AK018965_1
FP003160 Lrrc71_1
FP009881 Rpl13_1
FP005951 Hip1r_1
FP000042 Eya1_1
FP001416 Tmem250-ps_1
FP016227 Tex33_1
FP012402 1700007J10Rik_1
FP015641 Ints9_1
FP009679 Kctd19_1
FP001627 Arpc5l_1
FP000307 AK009383_1
FP015609 Wdfy2_1
FP003403 Hist2h2ab_1
FP015302 2610528A11Rik_1
FP011908 Prim1_1
FP004449 Pomgnt1_1
FP000359 Xrcc5_1
FP019457 Porcn_1
FP012819 Fndc8_1
FP006008 Asl_1
FP002421 Hck_1
FP019261 Entpd7_1
FP011105 Abracl_1
FP007057 Csgalnact2_1
FP010035 Mrpl4_1
FP014579 Ranbp9_1
FP002553 Gdap1l1_1
FP013040 Socs7_1
FP010237 AK078316_1
FP014595 Nhlrc1_1
FP011402 Rsph14_1
FP013414 Fads6_1
FP009169 AK018937_1
FP017811 Vars2_1
FP006508 Mrps33_1
FP018565 Zfp608_1
FP013570 Dcxr_1
FP019812 Il1rapl1_1
FP013776 Strn3_1
FP012784 Rab11fip4_1
FP009683 Atp6v0d1_1
FP016664 Vasn_1
FP001048 Slamf9_1
FP007786 Zfp27_1
FP004714 Ahdc1_1
FP008801 Nkx6-2_1
FP010902 Tmie_1
FP008600 Ears2_1
FP002803 Myt1_1
FP002023 BC052040_1
FP017802 Pou5f1_1
FP000579 Atg4b_1
FP001900 Phf21a_1
FP013163 Eif1_1
FP008005 Med25_1
FP000793 Ptprc_1
FP004495 Hyi_1
FP015063 Mrps30_1
FP003080 AK135399_1
FP018949 Wdr74_1
FP016762 Mapk1_1
FP019222 Ccnj_1
FP013900 Kcnh5_1
FP019008 Tmem132a_1
FP017895 Adgrf5_1
FP006502 Gm10244_1
FP011045 Iyd_1
FP013194 Coasy_1
FP011868 Tspan31_1
FP018238 Gm1976_1
FP006674 Neurod6_1
FP018589 Iigp1_1
FP007136 Cdca3_1
FP006272 Ubl3_1
FP018853 Rela_1
FP010923 Fbxl2_1
FP010545 Prtg_1
FP000549 Twist2_1
FP002069 Nusap1_1
FP014698 Neurog1_1
FP001060 Fcer1a_1
FP003419 Txnip_1
FP001976 Dnajc24_1
FP016615 Map3k12_1
FP010486 Spg21_1
FP000754 Mgat4e_1
FP007206 Clec2i_1
FP002230 Mrps26_1
FP014720 Naa35_1
FP010858 P4htm_1
FP020169 Vegfd_1
FP017153 Adamts1_1
FP016093 Khdrbs3_1
FP005292 Babam2_1
FP004882 Ctrcos_1
FP003357 Pip5k1a_1
FP015270 Lrrc18_1
FP014636 Sema4d_1
FP006289 Wdr95_1
FP018840 Fosl1_1
FP008510 Rnf141_1
FP009718 Cdh1_1
FP005754 Chek2_1
FP006287 Medag_1
FP009632 Got2_1
FP007499 Sult2a6_1
FP001237 Suv39h2_1
FP020102 Mirlet7f-2_1
FP006669 Inmt_1
FP016808 Gnb1l_1
FP010444 Itga11_1
FP016037 Sntb1_1
FP002489 Phf20_1
FP000621 Serpinb2_1
FP015375 Apex1_1
FP000942 Gm16548_1
FP016236 Elfn2_1
FP007404 Cdc42ep5_1
FP007518 Zc3h4_1
FP015390 Ang4_1
FP015225 Tmem110_1
FP014359 Nme8_1
FP007313 Slco1a5_1
FP008543 Plekha7_1
FP013700 Adi1_1
FP002278 Tmx4_1
FP017223 Cryzl1_1
FP008207 Fam174b_1
FP009519 Rtbdn_1
FP000437 Cul3_1
FP006126 Zfp113_1
FP015074 Nim1k_1
FP019217 Pdlim1_1
FP003692 Rpl34_1
FP014260 Ighe_1
FP018233 Fshr_1
FP017663 Cyp4f15_1
FP015095 AK017182_1
FP006005 Nupr1l_1
FP011790 Tmem19_1
FP005570 Adamts3_1
FP012850 Wfdc21_1
FP017139 Mirlet7c-1_1
FP008314 Prss23_1
FP014124 Serpina11_1
FP018168 Qpct_1
FP006625 4921507P07Rik_1
FP003730 4930579F01Rik_1
FP018663 Ptpn2_1
FP008820 Mtg1_1
FP015177 Comtd1_1
FP016002 Gm10373_1
FP018950 1700092M07Rik_1
FP006847 Nat8f1_1
FP001074 Ifi202b_1
FP000248 Hspe1_1
FP005507 C530008M17Rik_1
FP005448 9130230L23Rik_1
FP003629 Dpyd_1
FP018122 AK040904_1
FP017695 Platr17_1
FP008930 Fadd_1
FP019483 Bcor_1
FP003755 Kyat3_1
FP003777 Syde2_1
FP008722 Cox6a2_1
FP008188 Lins1_1
